hmm.accession	hmm.name	hmm.description	protein.name	secondary.name	author	e.val.threshold	hmm.coverage.threshold	target.coverage.threshold	literature.ref	database.ref	comment
PDLC01239	Cas12a_M31	Cas12a_M31_V-A	Cas12a	Cas12	Russel J	1.00E-05	0.9	0.3	10/gshm	NA	NA
PDLC01240	Cas12a_M57	Cas12a_M57_V-A	Cas12a	Cas12	Russel J	1.00E-05	0.9	0.3	10/gshm	NA	NA
PDLC01241	Cas12a_M58	Cas12a_M58_V-A	Cas12a	Cas12	Russel J	1.00E-05	0.9	0.3	10/gshm	NA	NA
PDLC01242	Cas12a_M59	Cas12a_M59_V-A	Cas12a	Cas12	Russel J	1.00E-05	0.9	0.3	10/gshm	NA	NA
PDLC01243	Cas12a_M61	Cas12a_M61_V-A	Cas12a	Cas12	Russel J	1.00E-05	0.9	0.3	10/gshm	NA	NA
PDLC01244	Cas12a_M62	Cas12a_M62_V-A	Cas12a	Cas12	Russel J	1.00E-05	0.9	0.3	10/gshm	NA	NA
PDLC01245	C2c1	C2c1	Cas12b	Cas12	Makarova KS	1.00E-05	0.9	0.3	10/ggdjdf	NA	NA
PDLC01246	Cas12b	CAS-V-B; effector__SPE	Cas12b	Cas12	Makarova KS	1.00E-05	0.9	0.3	10/ggkfgj	NA	NA
PDLC01247	cd06127	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; associated"	DEDDh	cas_accessory	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01248	cd09634	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; acquisition_1"	Cas1	cas_adaptation	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01249	cd09636	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; acquisition_1"	Cas1	cas_adaptation	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01250	cd09637	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; acquisition_associated"	Cas4	cas_adaptation	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01251	cd09638	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; acquisition_2"	Cas2	cas_adaptation	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01252	cd09639	CAS-I; effector_G3	Cas3	cas_effector	Makarova KS	1.00E-08	0.3	0.7	10/ggkfgj	NA	NA
PDLC01253	cd09640	CAS-I-C; effector_G7	Cas7c	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01254	cd09641	CAS-I; effector_G3	Cas3	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01255	cd09642	CAS-I-C; effector_LS	Cas8c	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01256	cd09643	"CAS-II-A,CAS-II-B,CAS-II-C; effector__SPE"	Cas9	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01257	cd09644	CAS-II-A; acquisition_associated	Csn2	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01258	cd09645	CAS-I-E; effector_G5	Cas5e	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01259	cd09646	CAS-I-E; effector_G7	Cas7e	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01260	cd09647	CAS-III-A; effector_SS	Csm2	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01261	cd09648	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; acquisition_2"	Cas2	cas_adaptation	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01262	cd09649	CAS-I-A; effector_G5	Cas5a	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01263	cd09650	CAS-I; effector_G7	Cas7	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01264	cd09651	CAS-I-C; effector_G5	Cas5c	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01265	cd09652	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; crRNAmaturation"	Cas6	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01266	cd09653	CAS-I-A; effector_SS	Cas11	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01267	cd09654	CAS-III-B; effector_SS	Cmr5	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01268	cd09655	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; associated_signaling"	CasR	cas_accessory	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01269	cd09656	"CAS-III-B,CAS-III-C; effector_G5"	Cmr3	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01270	cd09657	"CAS-III-B,CAS-III-C; effector_G7"	Cmr1	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01271	cd09658	CAS-I-B; effector_G5	Cas5	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01272	cd09659	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; acquisition_associated"	Cas4	cas_adaptation	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01273	cd09660	CAS-III; associated_signaling	Csx1	accessory_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01274	cd09661	"CAS-III-B,CAS-III-C; effector_G7"	Cmr6	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01275	cd09662	"CAS-III-A,CAS-III-D; effector_G7"	Csm5	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01276	cd09663	CAS-III-A; effector_G5	Csm4	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01277	cd09664	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; crRNAmaturation"	Cas6e	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01278	cd09665	CAS-I-B; effector_LS	Cas8b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01279	cd09666	CAS-I-A; effector_LS	Cas8a	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01280	cd09667	CAS-I-U; effector_G5	Cas5g	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01281	cd09668	CAS-III; associated_signaling	Csx1	accessory_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01282	cd09669	CAS-I-E; effector_LS	Cas8e	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01283	cd09670	CAS-I-E; effector_SS	Cas11e	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01284	cd09671	CAS-III; associated_signaling	Csx1	accessory_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01285	cd09672	CAS-I-B; effector_LS	Cas8b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01286	cd09673	CAS-I-F; effector_G3	Cas3f	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01287	cd09674	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; crRNAmaturation"	Cas6f	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01288	cd09675	CAS-I-F; effector_LS	Cas8f	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01289	cd09676	CAS-I-F; effector_G5	Cas5f	cas_effector	Makarova KS	1.00E-05	0.3	0.6	10/ggkfgj	NA	NA
PDLC01290	cd09677	CAS-I-F; effector_G7	Cas7f	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01291	cd09678	CAS-I-U; effector_G7	Cas7	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01292	cd09679	CAS-III; effector_LS	Cas10	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01293	cd09680	CAS-III; effector_LS	Cas10	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01294	cd09681	"CAS-I,CAS-III; associated"	Csx3	ring_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01295	cd09682	"CAS-III-B,CAS-III-C; effector_G7"	Cmr4	cas_effector	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01296	cd09683	"CAS-III-A,CAS-III-D; effector_G7"	Csm3	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01297	cd09684	"CAS-III-A,CAS-III-D; effector_G7"	Csm3	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01298	cd09685	CAS-I; effector_G7	Cas7	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01299	cd09686	CAS-III; associated_signaling	Csx1	accessory_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01300	cd09687	CAS-I-B; effector_G7	Cas7b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01301	cd09688	CAS-I-B; effector_G5	Cas5b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01302	cd09689	CAS-I-C; effector_G7	Cas7c	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01303	cd09690	CAS-I-B; effector_G7	Cas7b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01304	cd09691	CAS-I-B; effector_LS	Cas8b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01305	cd09692	CAS-I-B; effector_G5	Cas5	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01306	cd09693	CAS-I; effector_G5	Cas5	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01307	cd09694	CAS-III; associated_signaling	Csm6	accessory_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01308	cd09695	"CAS-I,CAS-III; associated"	Csx16	ring_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01309	cd09696	CAS-I-U; effector_G3	Cas3	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01310	cd09697	CAS-I-B; effector_LS	Cas8b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01311	cd09698	CAS-I-A; effector_LS	Cas8a	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01312	cd09699	CAS-III; associated_signaling	Csm6	accessory_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01313	cd09700	CAS-III-D; effector_G5	Cas5_IIId	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01314	cd09701	CAS-III-C; effector_LS	Cas10c	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01315	cd09702	CAS-III; associated_signaling	Csx1	accessory_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01316	cd09703	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; crRNAmaturation"	Cas6	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01317	cd09704	CAS-II-B; effector__SPE	Cas9b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01318	cd09705	CAS-IV-A; effector_LS	typeIV_Cas8	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01319	cd09706	CAS-IV-A; effector_G7	typeIV_Cas7	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01320	cd09707	CAS-IV-A; effector_G5	typeIV_Cas5	cas_effector	Makarova KS	1.00E-05	0.3	0.6	10/ggkfgj	NA	NA
PDLC01321	cd09708	CAS-IV-A; associated	typeIV_DinG	cas_effector	Makarova KS	1.00E-10	0.8	0.8	10/ggkfgj	NA	NA
PDLC01322	cd09709	CAS-I-D; effector_G7	Cas7d	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01323	cd09710	CAS-I-D; effector_G3	Cas3	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01324	cd09711	CAS-I-D; effector_G5	Cas5d	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01325	cd09712	CAS-I-D; effector_LS	Cas10_Id	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01326	cd09713	CAS-I-B; effector_LS	Cas8b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01327	cd09714	CAS-I-B; effector_LS	Cas8b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01328	cd09715	CAS-I-B; effector_LS	Cas8b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01329	cd09716	CAS-I-B; effector_G5	Cas5b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01330	cd09717	CAS-I-B; effector_G7	Cas7b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01331	cd09718	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; acquisition_1"	Cas1	cas_adaptation	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01332	cd09719	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; acquisition_1"	Cas1	cas_adaptation	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01333	cd09720	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; acquisition_1"	Cas1	cas_adaptation	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01334	cd09721	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; acquisition_1"	Cas1	cas_adaptation	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01335	cd09722	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; acquisition_1"	Cas1	cas_adaptation	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01336	cd09723	CAS-III; associated_signaling	Csx1	accessory_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01337	cd09724	CAS-I-A; effector_LS	Cas8a	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01338	cd09725	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; acquisition_2"	Cas2	cas_adaptation	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01339	cd09726	"CAS-III-A,CAS-III-D; effector_G7"	Csm3	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01340	cd09727	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; crRNAmaturation"	Cas6e	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01341	cd09728	CAS-III; associated_signaling	Csx1	accessory_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01342	cd09729	CAS-I-E; effector_LS	Cas8e	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01343	cd09730	CAS-I-B; effector_LS	Cas8b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01344	cd09731	CAS-I-E; effector_SS	Cas11e	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01345	cd09732	CAS-III; associated_signaling	Csx1	accessory_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01346	cd09733	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; crRNAmaturation"	Cas6	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01347	cd09734	CAS-I-U; effector_G5	Cas5g	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01348	cd09735	CAS-I-F; effector_LS	Cas8f	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01349	cd09736	CAS-I-F; effector_G5	Cas5f	cas_effector	Makarova KS	1.00E-05	0.3	0.6	10/ggkfgj	NA	NA
PDLC01350	cd09737	CAS-I-F; effector_G7	Cas7f	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01351	cd09738	CAS-I-U; effector_G7	Cas7g	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01352	cd09739	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; crRNAmaturation"	Cas6f	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01353	cd09740	"CAS-I,CAS-III; associated"	Csx3	ring_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01354	cd09741	CAS-III; associated_signaling	Csx1	accessory_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01355	cd09742	CAS-III; associated_signaling	Csm6	accessory_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01356	cd09743	"CAS-I,CAS-III; associated"	Csx16	ring_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01357	cd09744	CAS-I-B; effector_LS	Cas8b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01358	cd09745	CAS-I-A; effector_LS	Cas8a	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01359	cd09746	CAS-III; associated_signaling	Csm6	accessory_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01360	cd09747	CAS-III; associated_signaling	Csx1	accessory_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01361	cd09748	"CAS-III-B,CAS-III-C; effector_G5"	Cmr3	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01362	cd09749	CAS-III-B; effector_SS	Cmr5	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01363	cd09750	CAS-I-A; effector_SS	Cas11a	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01364	cd09751	CAS-I-A; effector_LS	Cas8a	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01365	cd09752	CAS-I-C; effector_G5	Cas5c	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01366	cd09753	CAS-I-A; effector_G5	Cas5a	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01367	cd09754	CAS-I-B; effector_LS	Cas8b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01368	cd09755	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; acquisition_2"	Cas2	cas_adaptation	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01369	cd09756	CAS-I-E; effector_G5	Cas5e	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01370	cd09757	CAS-I-C; effector_LS	Cas8c	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01371	cd09758	CAS-II-A; acquisition_associated	Csn2	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01372	cd09759	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; crRNAmaturation"	Cas6	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01373	cd09760	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; crRNAmaturation"	Cas6	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01374	cd09764	CAS-I-U; effector_UNK	Cas8g	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01375	cd09765	CAS-I-U; effector_LS	Cas8g	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01376	cd09766	"CAS-I,CAS-III; associated"	Csx15	ring_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01377	cd09767	CAS-I-U; effector_LS	Cas8g	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01378	cd10013	CAS-I; effector_G3	Cas3	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01379	cd12217	CAS-II-A; acquisition_associated	Csn2	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01380	cd12218	CAS-II-A; acquisition_associated	Csn2	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01381	cls000004	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; crRNAmaturation"	Cas6	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01382	cls000006	"CAS-I,CAS-III; associated"	Csx18	cas_accessory	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01383	cls000022	CAS-III-B; effector_SS	Cmr5	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01384	cls000023	"CAS-I,CAS-III; associated"	Csx20	ring_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01385	cls000024	CAS-II-A; acquisition_associated	Csn2	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01386	cls000028	CAS-I-E; effector_LS	Cas8e	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01387	cls000029	CAS-I-B; effector_LS	Cas8b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01388	cls000038	CAS-I-B; effector_G7	Cas7b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01389	cls000047	CAS-I-B; effector_G5	Cas5b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01390	cls000048	CAS-I-A; effector_G5	Cas5a	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01391	cls000059	CAS-III-D; effector_UNK	Csx19	cas_effector	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01392	cls000078	CAS-I-F; effector_G5	Cas5f	cas_effector	Makarova KS	1.00E-05	0.3	0.6	10/ggkfgj	NA	NA
PDLC01393	cls000079	CAS-I-F; effector_G7	Cas7f	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01394	cls000086	CAS-I-A; effector_SS	Cas11a	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01395	cls000088	CAS-I-A; effector_SS	Cas11a	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01396	cls000100	CAS-I-B; effector_LS	Cas8b	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01397	cls000118	"CAS-I,CAS-III; associated"	Csx20	ring_nuclease	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01398	cls000132	CAS-I-D; effector_LS	Cas10_Id	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01399	cls000148	CAS-I-F; effector_LS	Cas8f	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01400	cls000150	CAS-I-A; effector_LS	Cas8a	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01401	cls000157	CAS-I-A; effector_LS	Cas8a	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01402	cls000170	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; acquisition_associated"	Cas4	cas_adaptation	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01403	cls000179	"CAS-I,CAS-II,CAS-III,CAS-IV,CAS-V,CAS-VI; associated_signaling"	Csa3	cas_accessory	Makarova KS	1.00E-05	0.5	0.5	10/ggkfgj	NA	NA
PDLC01404	cls000184	"CAS-III-A,CAS-III-D; effector_G7"	Csm3	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01405	cls000190	CAS-III-B; effector_SS	Cmr5	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01406	cls000207	CAS-I-A; effector_SS	Cas11a	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01407	cls000253	"CAS-III-A,CAS-III-D; effector_G7"	Csm3	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01408	cls000259	CAS-III-D; effector_G5	Csm4	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
PDLC01409	cls000290	CAS-I-A; effector_LS	Cas8a	cas_effector	Makarova KS	1.00E-05	0.3	0.3	10/ggkfgj	NA	NA
